         ps   /tdc_tb/tdc/dm_inst/out_mod      
             /tdc_tb/tdc/dm_inst/out_signal    
  133185000                             0 1 
  133285000                             0 0 
  133385000                             0 1 
  133485000                             0 0 
  133585000                             0 1 
  133685000                             0 0 
  133785000                             0 1 
  133885000                             0 0 
  133985000                             0 1 
  134085000                             0 0 
  134185000                             0 1 
  134285000                             0 0 
  134385000                             0 1 
  134485000                             0 0 
  134585000                             0 1 
  134685000                             0 0 
  134785000                             0 1 
  134885000                             0 0 
  134985000                             0 1 
  135085000                             0 0 
  135185000                             0 1 
  135285000                             0 0 
  135385000                             0 1 
  135485000                             0 0 
  135585000                             0 1 
  135685000                             0 0 
  135785000                             0 1 
  135885000                             0 0 
  135985000                             0 1 
  136085000                             0 0 
  136185000                             0 1 
  136285000                             0 0 
  136385000                             0 1 
  136485000                             0 0 
  136585000                             0 1 
  136685000                             0 0 
  136785000                             0 1 
  136885000                             0 0 
  136985000                             0 1 
  137085000                             0 0 
  137185000                             0 1 
  137285000                             0 0 
  137385000                             0 1 
  137485000                             0 0 
  137585000                             0 1 
  137685000                             0 0 
  137785000                             0 1 
  137885000                             0 0 
  137985000                             0 1 
  138085000                             0 0 
  138185000                             0 1 
  138285000                             0 0 
  138385000                             0 1 
  138485000                             0 0 
  138585000                             0 1 
  138685000                             0 0 
  138785000                             0 1 
  138885000                             0 0 
  138985000                             0 1 
  139085000                             0 0 
  139185000                             0 1 
  139285000                             0 0 
  139385000                             0 1 
  139485000                             0 0 
  139585000                             0 1 
  139685000                             0 0 
  139785000                             0 1 
  139885000                             0 0 
  139985000                             0 1 
  140085000                             0 0 
  140185000                             0 1 
  140285000                             0 0 
  140385000                             0 1 
  140485000                             0 0 
  140585000                             0 1 
  140685000                             0 0 
  140785000                             0 1 
  140885000                             0 0 
  140985000                             0 1 
  141085000                             0 0 
  141185000                             0 1 
  141285000                             0 0 
  141385000                             0 1 
  141485000                             0 0 
  141585000                             0 1 
  141685000                             0 0 
  141785000                             0 1 
  141885000                             0 0 
  141985000                             0 1 
  142085000                             0 0 
  142185000                             0 1 
  142285000                             0 0 
  142385000                             0 1 
  142485000                             0 0 
  142585000                             0 1 
  142685000                             0 0 
  142785000                             0 1 
  142885000                             0 0 
  142985000                             0 1 
  143085000                             0 0 
  143185000                             0 1 
  143285000                             0 0 
  143385000                             0 1 
  143485000                             0 0 
